"County","city","DDP vote","KMT vote","valid vote"
"苗栗縣","　苗栗市","10,600","26,568","52,970"
"苗栗縣","　苑裡鎮","10,435","8,354","26,788"
"苗栗縣","　通霄鎮","7,193","7,036","19,743"
"苗栗縣","　竹南鎮","13,393","17,882","49,213"
"苗栗縣","　頭份市","11,734","26,880","59,432"
"苗栗縣","　後龍鎮","6,479","8,039","20,344"
"苗栗縣","　卓蘭鎮","3,505","3,873","10,098"
"苗栗縣","　大湖鄉","1,865","4,586","8,326"
"苗栗縣","　公館鄉","4,419","9,666","19,803"
"苗栗縣","　銅鑼鄉","2,264","5,617","10,687"
"苗栗縣","　南庄鄉","1,059","3,326","5,661"
"苗栗縣","　頭屋鄉","1,386","3,604","6,706"
"苗栗縣","　三義鄉","2,140","4,913","10,047"
"苗栗縣","　西湖鄉","819","2,353","4,246"
"苗栗縣","　造橋鄉","1,800","3,631","7,603"
"苗栗縣","　三灣鄉","887","2,116","4,104"
"苗栗縣","　獅潭鄉","537","1,572","2,628"
"苗栗縣","　泰安鄉","462","2,532","3,521"
"桃園市","　桃園區","82,639","86,260","260,939"
"桃園市","　中壢區","69,400","91,938","244,834"
"桃園市","　大溪區","20,620","18,263","55,507"
"桃園市","　楊梅區","29,584","37,305","98,513"
"桃園市","　蘆竹區","32,424","28,220","92,659"
"桃園市","　大園區","20,473","15,975","53,395"
"桃園市","　龜山區","30,879","30,765","94,125"
"桃園市","　八德區","36,855","43,103","118,854"
"桃園市","　龍潭區","20,545","29,353","72,641"
"桃園市","　平鎮區","39,995","49,311","134,020"
"桃園市","　新屋區","12,230","9,671","30,129"
"桃園市","　觀音區","16,256","10,757","38,757"
"桃園市","　復興區","1,443","3,640","6,165"
"宜蘭縣","　宜蘭市","19,969","17,728","56,435"
"宜蘭縣","　羅東鎮","16,440","11,584","41,395"
"宜蘭縣","　蘇澳鎮","9,825","6,749","23,307"
"宜蘭縣","　頭城鎮","5,605","5,581","16,394"
"宜蘭縣","　礁溪鄉","9,096","6,102","21,578"
"宜蘭縣","　壯圍鄉","6,709","3,786","14,771"
"宜蘭縣","　員山鄉","8,742","4,840","19,347"
"宜蘭縣","　冬山鄉","15,044","7,463","32,658"
"宜蘭縣","　五結鄉","11,026","5,983","24,864"
"宜蘭縣","　三星鄉","5,928","3,396","12,912"
"宜蘭縣","　大同鄉","395","2,322","3,298"
"宜蘭縣","　南澳鄉","269","2,480","3,106"
"連江縣","　南竿鄉","267","2,483","3,715"
"連江縣","　北竿鄉","68","763","1,093"
"連江縣","　莒光鄉","38","442","624"
"連江縣","　東引鄉","52","446","660"
"臺東縣","　臺東市","14,600","27,748","57,525"
"臺東縣","　成功鎮","1,206","4,235","6,592"
"臺東縣","　關山鎮","1,092","2,427","4,448"
"臺東縣","　卑南鄉","2,491","4,791","9,295"
"臺東縣","　鹿野鄉","1,089","2,016","3,954"
"臺東縣","　池上鄉","1,129","1,980","3,939"
"臺東縣","　東河鄉","811","2,354","3,956"
"臺東縣","　長濱鄉","614","2,076","3,265"
"臺東縣","　太麻里鄉","1,465","3,264","5,896"
"臺東縣","　大武鄉","546","1,728","2,740"
"臺東縣","　綠島鄉","223","1,076","1,715"
"臺東縣","　海端鄉","180","1,315","1,809"
"臺東縣","　延平鄉","204","1,232","1,707"
"臺東縣","　金峰鄉","143","1,718","2,137"
"臺東縣","　達仁鄉","175","1,461","1,876"
"臺東縣","　蘭嶼鄉","221","792","1,580"
"臺南市","　新營區","17,183","13,570","45,837"
"臺南市","　鹽水區","7,297","3,680","15,244"
"臺南市","　白河區","7,806","4,034","16,501"
"臺南市","　柳營區","5,860","3,172","13,209"
"臺南市","　後壁區","6,730","3,425","14,274"
"臺南市","　東山區","5,170","3,132","11,517"
"臺南市","　麻豆區","14,359","5,189","27,991"
"臺南市","　下營區","6,567","3,516","14,465"
"臺南市","　六甲區","6,167","2,848","13,080"
"臺南市","　官田區","6,167","2,827","13,364"
"臺南市","　大內區","2,801","1,523","5,948"
"臺南市","　佳里區","16,782","8,516","36,335"
"臺南市","　學甲區","8,037","3,289","15,683"
"臺南市","　西港區","7,713","3,142","15,421"
"臺南市","　七股區","6,736","2,848","13,467"
"臺南市","　將軍區","6,305","2,299","11,728"
"臺南市","　北門區","3,023","1,512","6,283"
"臺南市","　新化區","11,144","7,508","27,065"
"臺南市","　善化區","12,717","6,607","29,841"
"臺南市","　新市區","10,150","4,998","22,656"
"臺南市","　安定區","8,866","4,153","18,919"
"臺南市","　山上區","2,006","1,182","4,451"
"臺南市","　玉井區","2,802","3,059","8,205"
"臺南市","　楠西區","1,670","2,467","5,528"
"臺南市","　南化區","1,903","1,872","5,032"
"臺南市","　左鎮區","1,226","824","2,780"
"臺南市","　仁德區","20,187","12,944","48,396"
"臺南市","　歸仁區","19,540","9,947","42,752"
"臺南市","　關廟區","10,164","5,340","22,199"
"臺南市","　龍崎區","1,154","788","2,563"
"臺南市","　永康區","55,455","38,918","142,980"
