"County","city","DDP vote","KMT vote","valid vote"
"南投縣","　草屯鎮",18246,26443,55628
"南投縣","　國姓鄉",3219,5545,10788
"南投縣","　埔里鎮",12836,22295,44174
"南投縣","　仁愛鄉",626,5425,7226
"南投縣","　中寮鄉",3285,3826,8881
"南投縣","　魚池鄉",3136,3918,8902
"南投縣","　南投市",17167,28357,58180
"南投縣","　名間鄉",9204,8763,22905
"南投縣","　集集鎮",2128,3096,6507
"南投縣","　竹山鎮",12005,13180,31285
"南投縣","　鹿谷鄉",3506,4898,10516
"南投縣","　水里鄉",3247,5052,10548
"南投縣","　信義鄉",1736,4888,7951
"嘉義市","　東區",22369,29283,68926
"嘉義市","　西區",29324,30708,79737
"嘉義縣","　六腳鄉",7325,4124,14914
"嘉義縣","　東石鄉",6491,5579,15250
"嘉義縣","　朴子市",10620,7852,23903
"嘉義縣","　太保市",8707,6858,20079
"嘉義縣","　布袋鎮",7129,6610,17168
"嘉義縣","　義竹鄉",5648,4825,12810
"嘉義縣","　鹿草鄉",4700,3320,10159
"嘉義縣","　水上鄉",12608,11368,30566
"嘉義縣","　溪口鄉",4885,2379,9216
"嘉義縣","　大林鎮",7923,7075,18845
"嘉義縣","　梅山鄉",5184,4260,11838
"嘉義縣","　新港鄉",9426,4977,18890
"嘉義縣","　民雄鄉",16542,14606,40404
"嘉義縣","　竹崎鄉",9142,7263,21155
"嘉義縣","　中埔鄉",10581,9351,25805
"嘉義縣","　番路鄉",2786,2342,6622
"嘉義縣","　阿里山鄉",488,1939,2947
"嘉義縣","　大埔鄉",672,841,1897
"基隆市","　中正區",8072,15411,30264
"基隆市","　信義區",7068,15884,29658
"基隆市","　仁愛區",8143,12840,27245
"基隆市","　中山區",8301,13888,28633
"基隆市","　安樂區",12849,23348,46354
"基隆市","　暖暖區",5159,10968,20819
"基隆市","　七堵區",9098,15153,30909
"宜蘭縣","　宜蘭市",19624,22665,51902
"宜蘭縣","　羅東鎮",16369,15394,38957
"宜蘭縣","　蘇澳鎮",10391,8826,23345
"宜蘭縣","　頭城鎮",5501,7839,16312
"宜蘭縣","　礁溪鄉",9005,7894,20401
"宜蘭縣","　壯圍鄉",6820,4953,14006
"宜蘭縣","　員山鄉",8809,6086,17953
"宜蘭縣","　冬山鄉",15578,9672,30143
"宜蘭縣","　五結鄉",11172,7396,22350
"宜蘭縣","　三星鄉",6053,3856,11973
"宜蘭縣","　大同鄉",396,2101,2990
"宜蘭縣","　南澳鄉",179,2156,2748
"屏東縣","　里港鄉",7549,4294,14890
"屏東縣","　高樹鄉",8163,3964,15123
"屏東縣","　三地門鄉",392,3079,3913
"屏東縣","　霧臺鄉",229,1295,1713
"屏東縣","　九如鄉",7225,3640,13256
"屏東縣","　鹽埔鄉",6347,5930,14826
"屏東縣","　長治鄉",8043,6603,17902
"屏東縣","　內埔鄉",15649,11317,32606
"屏東縣","　瑪家鄉",392,2855,3673
"屏東縣","　泰武鄉",232,2223,2727
"屏東縣","　竹田鄉",5594,3711,11225
"屏東縣","　萬巒鄉",6402,3856,12520
"屏東縣","　潮州鎮",13106,11876,30909
"屏東縣","　屏東市",42522,53569,119770
"屏東縣","　麟洛鄉",3455,2382,7234
"屏東縣","　萬丹鄉",14217,10761,31031
"屏東縣","　新園鄉",11618,6156,21907
"屏東縣","　崁頂鄉",4239,2731,8571
"屏東縣","　南州鄉",3372,2298,6847
"屏東縣","　新埤鄉",2879,2270,6175
"屏東縣","　來義鄉",191,3294,3859
"屏東縣","　東港鎮",12474,8978,26779
"屏東縣","　林邊鄉",5803,3898,11811
"屏東縣","　佳冬鄉",6023,3776,12033
"屏東縣","　枋寮鄉",6700,5355,14668
"屏東縣","　春日鄉",142,1901,2289
"屏東縣","　枋山鄉",1641,1082,3233
"屏東縣","　獅子鄉",208,1907,2364
"屏東縣","　牡丹鄉",247,1623,2242
"屏東縣","　車城鄉",2344,1540,4758
"屏東縣","　滿州鄉",1680,1497,3896
"屏東縣","　恆春鎮",6288,5991,14613
"屏東縣","　琉球鄉",1612,2600,4887
"彰化縣","　伸港鄉",6682,9207,19532
"彰化縣","　線西鄉",2662,4740,9289
"彰化縣","　和美鎮",17758,22730,50418
"彰化縣","　鹿港鎮",18376,19508,48256
"彰化縣","　福興鄉",10726,10793,27014
"彰化縣","　秀水鄉",8249,9255,21887
"彰化縣","　彰化市",44008,62380,133621
"彰化縣","　花壇鄉",8391,12489,25846
"彰化縣","　芬園鄉",5974,5700,14312
"彰化縣","　芳苑鄉",7367,6904,17771
"彰化縣","　二林鎮",8773,13419,27463
"彰化縣","　埔鹽鄉",6077,9264,18635
"彰化縣","　溪湖鎮",9810,13711,29393
"彰化縣","　埔心鄉",7625,7930,19605
"彰化縣","　大城鄉",2957,4247,8772
"彰化縣","　竹塘鄉",3493,3079,8364
"彰化縣","　埤頭鄉",6482,6701,16173
"彰化縣","　北斗鎮",6228,7907,18116
"彰化縣","　溪州鄉",7491,5884,16527
"彰化縣","　大村鄉",7235,9157,20367
"彰化縣","　員林鎮",22615,31773,68212
"彰化縣","　永靖鄉",7742,9495,21593
"彰化縣","　社頭鄉",9751,10387,24901
"彰化縣","　田尾鄉",5329,6718,15357
"彰化縣","　田中鎮",8638,10710,23810
"彰化縣","　二水鄉",3854,3998,9645
"新北市","　石門區",2118,3416,6828
"新北市","　三芝區",3520,6423,12725
"新北市","　淡水區",25826,40672,84872
"新北市","　八里區",6776,8639,19722
"新北市","　林口區",14923,21675,46926
"新北市","　泰山區",15913,19261,43694
"新北市","　五股區",16956,18954,45096
"新北市","　蘆洲區",44314,43481,110946
"新北市","　三重區",94302,92475,235988
"新北市","　新莊區",88740,97233,230857
"新北市","　樹林區",37072,43734,101270
"新北市","　鶯歌區",17871,20766,48384
"新北市","　板橋區",118369,143745,330684
"新北市","　中和區",71705,131084,257167
"新北市","　永和區",33136,77120,140380
"新北市","　土城區",47471,61203,135444
"新北市","　三峽區",19473,25317,55992
"新北市","　新店區",43084,99364,181166
"新北市","　深坑區",4499,6551,13895
"新北市","　石碇區",2031,1640,4649
"新北市","　坪林區",1822,1269,3909
"新北市","　烏來區",789,1662,3138
"新北市","　金山區",4258,5575,12491
"新北市","　萬里區",4126,5737,12512
"新北市","　汐止區",34209,54174,112676
"新北市","　平溪區",1218,1313,3238
"新北市","　瑞芳區",7398,11555,24168
"新北市","　雙溪區",1971,2480,5609
"新北市","　貢寮區",3460,2561,7761
"新竹市","　東區",28416,56940,108159
"新竹市","　北區",25910,38711,82056
"新竹市","　香山區",14841,17840,41082
"新竹縣","　竹北市",21197,41639,77527
"新竹縣","　竹東鎮",10287,33245,52582
"新竹縣","　新埔鎮",6078,11254,20941
"新竹縣","　關西鎮",4928,10288,18157
"新竹縣","　湖口鄉",9649,25076,41989
"新竹縣","　新豐鄉",7490,16098,28578
"新竹縣","　芎林鄉",2768,7358,12320
"新竹縣","　橫山鄉",1762,5350,8470
"新竹縣","　北埔鄉",1388,3511,5861
"新竹縣","　寶山鄉",2062,4758,8330
"新竹縣","　峨眉鄉",1155,1906,3624
"新竹縣","　尖石鄉",487,2709,3915
"新竹縣","　五峰鄉",311,1572,2291
"桃園縣","　蘆竹鄉",27616,33089,75899
"桃園縣","　龜山鄉",25161,36307,76439
"桃園縣","　桃園市",70746,107388,222641
"桃園縣","　大園鄉",17041,18527,43966
"桃園縣","　觀音鄉",14081,12094,32978
"桃園縣","　新屋鄉",11441,11355,27629
"桃園縣","　楊梅市",24254,43071,81616
"桃園縣","　中壢市",58520,111954,208992
"桃園縣","　平鎮市",33778,60092,115411
"桃園縣","　龍潭鄉",16888,34331,63093
"桃園縣","　八德市",29409,51366,99115
"桃園縣","　大溪鎮",18209,22537,50670
"桃園縣","　復興鄉",883,3221,4979
"澎湖縣","　馬公市",9774,12919,27746
"澎湖縣","　湖西鄉",2928,2428,6475
"澎湖縣","　白沙鄉",1452,1779,3885
"澎湖縣","　西嶼鄉",1511,1466,3615
"澎湖縣","　望安鄉",528,422,1276
"澎湖縣","　七美鄉",219,560,1032
"臺中市","　大甲區",14929,19383,42374
"臺中市","　大安區",4237,5183,11473
"臺中市","　外埔區",5345,8811,17687
"臺中市","　清水區",18193,20209,47356
"臺中市","　梧棲區",10749,13377,30037
"臺中市","　沙鹿區",15171,21182,45434
"臺中市","　龍井區",13952,18029,39950
"臺中市","　大肚區",10884,14920,31495
"臺中市","　烏日區",14222,17063,39528
"臺中市","　霧峰區",13375,16207,37677
"臺中市","　大里區",39977,47751,111557
"臺中市","　后里區",8182,13360,30709
"臺中市","　神岡區",14310,14337,36820
"臺中市","　大雅區",16181,23032,49298
"臺中市","　潭子區",20022,25133,57625
"臺中市","　西屯區",35589,55700,116316
"臺中市","　南屯區",27524,39456,84780
"臺中市","　北屯區",44439,66822,141322
"臺中市","　北區",24948,39991,84749
"臺中市","　西區",21191,30358,66650
"臺中市","　中區",3604,4704,10950
"臺中市","　東區",15784,18709,44225
"臺中市","　南區",22030,30034,66290
"臺中市","　太平區",34274,43940,98184
"臺中市","　豐原區",33663,40046,95509
"臺中市","　石岡區",3031,4527,9360
"臺中市","　新社區",5155,6508,14779
"臺中市","　東勢區",9395,14663,30595
"臺中市","　和平區",1123,3322,5655
"臺北市","　北投區",49679,68038,150824
"臺北市","　士林區",60154,74463,175230
"臺北市","　大同區",29894,29545,77340
"臺北市","　中山區",42378,61575,135894
"臺北市","　松山區",33905,61325,124525
"臺北市","　內湖區",46363,81489,163179
"臺北市","　南港區",21209,33974,70352
"臺北市","　萬華區",38678,52993,118315
"臺北市","　中正區",24810,46304,92822
"臺北市","　大安區",45708,93539,182913
"臺北市","　信義區",37670,69123,138399
"臺北市","　文山區",36624,87356,160011
"臺南市","　後壁區",7794,4125,15083
"臺南市","　白河區",8473,4869,17089
"臺南市","　北門區",3457,1947,6844
"臺南市","　學甲區",8492,4147,15768
"臺南市","　鹽水區",7406,4221,15144
"臺南市","　新營區",17175,16540,42918
"臺南市","　柳營區",6522,3724,12960
"臺南市","　東山區",5821,3606,11871
"臺南市","　將軍區",6528,2994,12293
"臺南市","　下營區",7326,4494,14835
"臺南市","　六甲區",6731,3767,13188
"臺南市","　官田區",7146,3338,13054
"臺南市","　七股區",7397,3502,13979
"臺南市","　佳里區",17053,10368,33993
"臺南市","　麻豆區",15426,6224,27481
